DELIVERY_NAME,DELIVERY_RATING,MARKET_NUMBER,MARKET_NAME,TIMEZONE,DASHER,IS_FIRST_DELIVERY,VEHICLE,CREATED_AT,QUOTED_DELIVERY_TIME,ESTIMATED_DELIVERY_TIME,ASAP,FRAUDULENT,ACTUAL_PICKUP_TIME,ACTUAL_DELIVERY_TIME,DASHER_ASSIGNED_TIME,MANUALLY_ASSIGNED,DASHER_CONFIRMED_TIME,DASHER_AT_STORE_TIME,CANCELLED_AT,ACTIVE_DATE,COMPOSITE_SCORE,SUBTOTAL,CONFIRM_TO_DELIVER_DURATION,DASHER_TO_RESTAURANT_DURATION,DASHER_WAIT_DURATION,RESTAURANT_TO_CUSTOMER_DURATION,WAS_BATCHED,TOTAL_ITEM_COUNT,DASHER_TO_STORE_TIME_CATEGORY,ACTUAL_PICKUP_TIME_GALAXY_A,ACTUAL_DELIVERY_TIME_GALAXY_A,DASHER_ASSIGNED_TIME_GALAXY_A,DASHER_AT_STORE_TIME_GALAXY_A,COMPOSITE_STAR_RATING,NUM_FIVE_STARS,NUM_DELIVERIES,NUM_ON_TIME_DELIVERIES
930,5,4050,Doorlanta,Galaxy A,Katelynn,0,car,2055-06-08T14:40:31.776158Z,2055-06-08T16:30:00Z,2055-06-08T16:30:00Z,0,0,2055-06-08T16:27:25.447059Z,2055-06-08T16:43:26.092195Z,2055-06-08T15:24:32.128072Z,1,2055-06-08T15:24:56.562443Z,,,6/8/2055,4.5,3000,4710,,,961,0,47,,2055-06-08T12:27:25.447059Z,2055-06-08T12:43:26.092195Z,2055-06-08T11:24:32.128072Z,,4.7,1261,3264,232
371,,4001,Dashattan,Galaxy A,Arya,0,bicycle,2055-06-03T23:55:23.345361Z,2055-06-04T02:10:19.438Z,2055-06-04T01:42:06.438Z,1,0,2055-06-04T00:43:45.908174Z,2055-06-04T01:08:26.640633Z,2055-06-04T00:30:14.629493Z,1,2055-06-04T00:30:30.006106Z,2055-06-04T00:38:02.90308Z,,6/3/2055,3.198404529,2000,2276,452,343,1481,0,10,early,2055-06-03T20:43:45.908174Z,2055-06-03T21:08:26.640633Z,2055-06-03T20:30:14.629493Z,2055-06-03T20:38:02.90308Z,4.17,457,1599,
1012,5,4001,Dashattan,Galaxy A,Bret,0,car,2055-06-09T13:45:44.022432Z,2055-06-09T15:29:57.082Z,2055-06-09T15:01:44.082Z,1,1,2055-06-09T15:11:25.372168Z,2055-06-09T15:13:35.539122Z,2055-06-09T14:04:34.144994Z,0,2055-06-09T14:05:28.008027Z,2055-06-09T14:19:12.351423Z,,6/9/2055,4.5,1500,4087,824,3133,130,0,22,late,2055-06-09T11:11:25.372168Z,2055-06-09T11:13:35.539122Z,2055-06-09T10:04:34.144994Z,2055-06-09T10:19:12.351423Z,3.82,174,773,
774,,4001,Dashattan,Galaxy A,Bret,0,car,2055-06-06T22:14:59.221376Z,2055-06-07T15:45:00Z,2055-06-07T15:45:00Z,0,0,2055-06-07T15:35:32.652626Z,2055-06-07T15:50:01.734136Z,2055-06-07T14:40:24.824381Z,1,2055-06-07T14:41:19.172553Z,2055-06-07T15:33:47.403919Z,,6/7/2055,4.542521796,1500,4122,3148,105,869,1,32,,2055-06-07T11:35:32.652626Z,2055-06-07T11:50:01.734136Z,2055-06-07T10:40:24.824381Z,2055-06-07T11:33:47.403919Z,3.82,174,773,
412,1,4001,Dashattan,Galaxy A,Samm,0,car,2055-06-04T16:09:11.472458Z,2055-06-04T18:20:18.559Z,2055-06-04T18:20:18.559Z,0,0,2055-06-04T18:12:59.656413Z,2055-06-04T18:35:17.08753Z,2055-06-04T17:41:54.272943Z,1,2055-06-04T17:42:13.505934Z,2055-06-04T17:58:03.42043Z,,6/4/2055,4.3,1500,3184,950,896,1338,0,26,early,2055-06-04T14:12:59.656413Z,2055-06-04T14:35:17.08753Z,2055-06-04T13:41:54.272943Z,2055-06-04T13:58:03.42043Z,4.03,505,1721,457
1050,1,4001,Dashattan,Galaxy A,Carlee,0,car,2055-06-09T19:49:41.693256Z,2055-06-10T15:45:00Z,2055-06-10T15:45:00Z,0,0,2055-06-10T15:18:09.540509Z,2055-06-10T15:23:08.754428Z,2055-06-10T14:47:54.187365Z,0,2055-06-10T14:48:06.628086Z,2055-06-10T15:10:46.951495Z,,6/10/2055,4.542521796,1500,2102,1360,443,299,0,20,late,2055-06-10T11:18:09.540509Z,2055-06-10T11:23:08.754428Z,2055-06-10T10:47:54.187365Z,2055-06-10T11:10:46.951495Z,4.52,269,895,23
5,5,4050,Doorlanta,Galaxy A,Jagar,0,car,2055-06-01T14:26:36.995622Z,2055-06-01T16:00:00Z,2055-06-01T16:00:00Z,0,0,2055-06-01T15:41:52.41593Z,2055-06-01T15:52:44.442115Z,2055-06-01T15:00:07.376028Z,0,2055-06-01T15:00:16.289572Z,2055-06-01T15:11:29.739589Z,,6/1/2055,4.6,1500,3148,673,1823,652,0,15,early,2055-06-01T11:41:52.41593Z,2055-06-01T11:52:44.442115Z,2055-06-01T11:00:07.376028Z,2055-06-01T11:11:29.739589Z,4.89,1778,5138,314
823,5,4001,Dashattan,Galaxy A,Samm,0,car,2055-06-07T12:29:58.490584Z,2055-06-07T23:15:00Z,2055-06-07T23:15:00Z,0,0,2055-06-07T23:06:49.039195Z,2055-06-07T23:07:04.529095Z,2055-06-07T22:18:34.346697Z,0,2055-06-07T22:18:39.784875Z,2055-06-07T22:33:52.326656Z,,6/7/2055,3.242009848,1500,2905,913,1977,15,0,6,late,2055-06-07T19:06:49.039195Z,2055-06-07T19:07:04.529095Z,2055-06-07T18:18:34.346697Z,2055-06-07T18:33:52.326656Z,4.03,505,1721,457
275,,4001,Dashattan,Galaxy A,Samm,0,car,2055-06-03T15:49:29.798239Z,2055-06-03T17:14:45.888Z,2055-06-03T17:01:32.888Z,1,0,2055-06-03T16:37:12.215405Z,2055-06-03T16:51:15.79938Z,2055-06-03T16:05:14.936934Z,0,2055-06-03T16:05:22.620426Z,2055-06-03T16:32:42.302357Z,,6/3/2055,4.6,1500,2753,1640,270,843,0,10,late,2055-06-03T12:37:12.215405Z,2055-06-03T12:51:15.79938Z,2055-06-03T12:05:14.936934Z,2055-06-03T12:32:42.302357Z,4.03,505,1721,457
3,4,4050,Doorlanta,Galaxy A,Sal,0,car,2055-06-01T14:19:19.004452Z,2055-06-01T16:00:00Z,2055-06-01T16:00:00Z,0,0,2055-06-01T15:54:40.489099Z,2055-06-01T16:10:40.273128Z,2055-06-01T15:00:07.351144Z,0,2055-06-01T15:00:15.282234Z,,,6/1/2055,2.723830758,1000,4225,,,960,0,7,,2055-06-01T11:54:40.489099Z,2055-06-01T12:10:40.273128Z,2055-06-01T11:00:07.351144Z,,4.46,349,779,
613,5,4050,Doorlanta,Galaxy A,Kev,1,car,2055-06-05T20:29:49.293908Z,2055-06-05T21:57:03.367Z,2055-06-05T21:36:56.367Z,1,0,2055-06-05T21:00:53.690836Z,2055-06-05T21:25:21.417903Z,2055-06-05T20:47:07.290523Z,0,2055-06-05T20:47:13.383317Z,2055-06-05T20:55:06.423426Z,,6/5/2055,4.7,1000,2288,473,347,1468,0,16,late,2055-06-05T17:00:53.690836Z,2055-06-05T17:25:21.417903Z,2055-06-05T16:47:07.290523Z,2055-06-05T16:55:06.423426Z,4.740740741,43,144,80
718,,4050,Doorlanta,Galaxy A,Matt,0,car,2055-06-06T01:27:59.301958Z,2055-06-06T16:00:00Z,2055-06-06T16:00:00Z,0,0,2055-06-06T15:49:55.135794Z,2055-06-06T16:03:24.394424Z,2055-06-06T15:00:07.288126Z,0,2055-06-06T15:00:26.211274Z,2055-06-06T15:12:18.023155Z,,6/6/2055,4.5,1000,3778,712,2257,809,0,10,early,2055-06-06T11:49:55.135794Z,2055-06-06T12:03:24.394424Z,2055-06-06T11:00:07.288126Z,2055-06-06T11:12:18.023155Z,4.22,1551,4625,
927,,4050,Doorlanta,Galaxy A,Jagar,0,car,2055-06-08T14:23:46.742847Z,2055-06-08T16:30:00Z,2055-06-08T16:30:00Z,0,0,2055-06-08T16:02:19.598742Z,2055-06-08T16:11:42.561344Z,2055-06-08T15:30:27.401737Z,0,2055-06-08T15:30:38.403377Z,2055-06-08T15:39:54.411513Z,,6/8/2055,4.6,1000,2464,556,1345,563,0,10,early,2055-06-08T12:02:19.598742Z,2055-06-08T12:11:42.561344Z,2055-06-08T11:30:27.401737Z,2055-06-08T11:39:54.411513Z,4.89,1778,5138,314
286,3,4050,Doorlanta,Galaxy A,Ash,0,car,2055-06-03T16:25:31.409567Z,2055-06-03T17:38:49.501Z,2055-06-03T17:19:10.501Z,1,0,2055-06-03T16:59:05.379588Z,2055-06-03T17:35:42.669252Z,2055-06-03T16:31:27.371306Z,0,2055-06-03T16:31:36.262896Z,,,6/3/2055,4.5,1000,3846,,,2197,0,7,,2055-06-03T12:59:05.379588Z,2055-06-03T13:35:42.669252Z,2055-06-03T12:31:27.371306Z,,4.66,161,398,
94,5,4050,Doorlanta,Galaxy A,Codee,0,car,2055-06-02T00:15:53.163656Z,2055-06-02T01:08:11.244Z,2055-06-02T01:07:32.244Z,1,0,2055-06-02T00:38:51.274164Z,2055-06-02T01:03:19.778995Z,2055-06-02T00:16:07.373744Z,0,2055-06-02T00:16:34.50453Z,2055-06-02T00:29:31.141773Z,,6/1/2055,4.8,1000,2805,777,560,1468,0,12,on time,2055-06-01T20:38:51.274164Z,2055-06-01T21:03:19.778995Z,2055-06-01T20:16:07.373744Z,2055-06-01T20:29:31.141773Z,4.367088608,59,198,42
113,,4050,Doorlanta,Galaxy A,Lauran,0,car,2055-06-02T14:14:13.014128Z,2055-06-02T21:15:00Z,2055-06-02T21:15:00Z,0,0,2055-06-02T21:02:45.912741Z,2055-06-02T21:18:03.029991Z,2055-06-02T20:18:47.339647Z,0,2055-06-02T20:18:56.228585Z,2055-06-02T20:44:38.50371Z,,6/2/2055,4.5,1000,3547,1542,1087,918,0,6,late,2055-06-02T17:02:45.912741Z,2055-06-02T17:18:03.029991Z,2055-06-02T16:18:47.339647Z,2055-06-02T16:44:38.50371Z,4.42,1396,4836,1278
207,1,4001,Dashattan,Galaxy A,Ron,0,bicycle,2055-06-02T23:27:56.045622Z,2055-06-03T00:30:14.101Z,2055-06-03T00:10:35.101Z,1,0,2055-06-03T00:05:32.024913Z,2055-06-03T00:25:35.591672Z,2055-06-02T23:32:55.244404Z,0,2055-06-02T23:33:18.91934Z,2055-06-02T23:50:54.342973Z,,6/2/2055,4.4,1000,3137,1056,878,1203,0,10,on time,2055-06-02T20:05:32.024913Z,2055-06-02T20:25:35.591672Z,2055-06-02T19:32:55.244404Z,2055-06-02T19:50:54.342973Z,4.56,765,2618,
973,,4001,Dashattan,Galaxy A,Bret,0,car,2055-06-08T22:02:05.357188Z,2055-06-09T16:00:00Z,2055-06-09T16:00:00Z,0,0,2055-06-09T15:44:54.492375Z,2055-06-09T16:01:06.092165Z,2055-06-09T15:13:54.322888Z,0,2055-06-09T15:14:40.504938Z,2055-06-09T15:41:42.317635Z,,6/9/2055,4.3,1000,2786,1622,192,972,1,8,,2055-06-09T11:44:54.492375Z,2055-06-09T12:01:06.092165Z,2055-06-09T11:13:54.322888Z,2055-06-09T11:41:42.317635Z,3.82,174,773,
485,,4050,Doorlanta,Galaxy A,Katelynn,0,car,2055-06-04T23:16:19.806926Z,2055-06-05T00:13:30.868Z,2055-06-04T23:58:51.868Z,1,0,2055-06-04T23:55:02.638822Z,2055-06-05T00:05:54.873885Z,2055-06-04T23:16:27.662725Z,0,2055-06-04T23:17:04.516324Z,2055-06-04T23:24:47.340345Z,,6/4/2055,4.6,1000,2930,463,1815,652,0,6,early,2055-06-04T19:55:02.638822Z,2055-06-04T20:05:54.873885Z,2055-06-04T19:16:27.662725Z,2055-06-04T19:24:47.340345Z,4.7,1261,3264,232
827,,4001,Dashattan,Galaxy A,Bret,0,car,2055-06-07T13:50:11.106486Z,2055-06-07T14:30:17.169Z,2055-06-07T14:21:24.169Z,1,0,2055-06-07T14:33:35.994888Z,2055-06-07T14:57:30.713153Z,2055-06-07T13:50:14.118263Z,0,2055-06-07T13:50:18.103263Z,2055-06-07T13:50:33.323279Z,,6/7/2055,4.5,1000,4032,15,2582,1435,1,19,,2055-06-07T10:33:35.994888Z,2055-06-07T10:57:30.713153Z,2055-06-07T09:50:14.118263Z,2055-06-07T09:50:33.323279Z,3.82,174,773,
949,1,4050,Doorlanta,Galaxy A,Cate,0,car,2055-06-08T17:03:58.423933Z,2055-06-08T17:58:58.49Z,2055-06-08T17:31:17.49Z,1,0,2055-06-08T17:30:42.284657Z,2055-06-08T17:40:38.362483Z,2055-06-08T17:04:07.323219Z,0,2055-06-08T17:04:15.588968Z,2055-06-08T17:19:16.893874Z,,6/8/2055,4.6,1000,2183,901,686,596,0,13,on time,2055-06-08T13:30:42.284657Z,2055-06-08T13:40:38.362483Z,2055-06-08T13:04:07.323219Z,2055-06-08T13:19:16.893874Z,4.49,2315,7039,763
4,5,4050,Doorlanta,Galaxy A,Matt,0,car,2055-06-01T14:23:25.582144Z,2055-06-01T15:18:25.659Z,2055-06-01T14:56:28.659Z,1,0,2055-06-01T15:42:29.641268Z,2055-06-01T15:57:28.896504Z,2055-06-01T14:25:07.246323Z,0,2055-06-01T14:25:22.663283Z,2055-06-01T15:31:06.908633Z,,6/1/2055,4.3,1000,5526,3944,683,899,0,11,late,2055-06-01T11:42:29.641268Z,2055-06-01T11:57:28.896504Z,2055-06-01T10:25:07.246323Z,2055-06-01T11:31:06.908633Z,4.22,1551,4625,
1551,4,4001,Dashattan,Galaxy A,Sean,0,bicycle,2055-06-13T14:37:39.095965Z,2055-06-13T16:15:00Z,2055-06-13T16:15:00Z,0,0,2055-06-13T15:31:18.826114Z,2055-06-13T15:36:20.851883Z,2055-06-13T15:15:34.266911Z,0,2055-06-13T15:16:02.345147Z,2055-06-13T15:20:48.907935Z,,6/13/2055,4.4,1000,1218,286,630,302,0,12,early,2055-06-13T11:31:18.826114Z,2055-06-13T11:36:20.851883Z,2055-06-13T11:15:34.266911Z,2055-06-13T11:20:48.907935Z,4.52,183,522,
742,,4050,Doorlanta,Galaxy A,Katelynn,0,car,2055-06-06T16:41:15.731402Z,2055-06-06T17:46:09.803Z,2055-06-06T17:24:15.803Z,1,0,2055-06-06T17:22:53.925846Z,2055-06-06T17:44:01.921308Z,2055-06-06T16:51:07.274373Z,0,2055-06-06T16:51:11.550738Z,2055-06-06T17:08:32.499641Z,,6/6/2055,4.5,1000,3170,1041,861,1268,0,14,late,2055-06-06T13:22:53.925846Z,2055-06-06T13:44:01.921308Z,2055-06-06T12:51:07.274373Z,2055-06-06T13:08:32.499641Z,4.7,1261,3264,232
361,3,4050,Doorlanta,Galaxy A,Lauran,0,car,2055-06-03T23:15:25.883303Z,2055-06-04T00:16:53.959Z,2055-06-03T23:58:00.959Z,1,0,2055-06-03T23:59:19.549565Z,2055-06-04T00:15:50.983126Z,2055-06-03T23:15:47.365112Z,0,2055-06-03T23:15:52.523686Z,2055-06-03T23:21:10.238683Z,,6/3/2055,4.5,1000,3598,318,2289,991,0,4,early,2055-06-03T19:59:19.549565Z,2055-06-03T20:15:50.983126Z,2055-06-03T19:15:47.365112Z,2055-06-03T19:21:10.238683Z,4.42,1396,4836,1278
36,,4001,Dashattan,Galaxy A,KC,0,car,2055-06-01T21:01:04.209755Z,2055-06-02T15:30:00Z,2055-06-02T15:30:00Z,0,0,2055-06-02T14:48:48.937943Z,2055-06-02T15:08:40.224318Z,2055-06-02T14:30:14.230927Z,0,2055-06-02T14:30:28.58113Z,2055-06-02T14:41:27.462278Z,,6/2/2055,4.4,1000,2292,659,441,1192,0,11,on time,2055-06-02T10:48:48.937943Z,2055-06-02T11:08:40.224318Z,2055-06-02T10:30:14.230927Z,2055-06-02T10:41:27.462278Z,4.54,2229,6580,
271,,4001,Dashattan,Galaxy A,Sean,0,bicycle,2055-06-03T15:44:35.396375Z,2055-06-03T16:22:42.451Z,2055-06-03T16:13:49.451Z,1,0,2055-06-03T17:27:07.724355Z,2055-06-03T17:39:52.518053Z,2055-06-03T17:09:14.942128Z,0,2055-06-03T17:09:44.546634Z,2055-06-03T17:11:59.817956Z,,6/3/2055,3.49339893,7500,1808,135,908,765,1,13,,2055-06-03T13:27:07.724355Z,2055-06-03T13:39:52.518053Z,2055-06-03T13:09:14.942128Z,2055-06-03T13:11:59.817956Z,4.52,183,522,
498,,4050,Doorlanta,Galaxy A,Josh,0,car,2055-06-04T23:56:30.589599Z,2055-06-05T00:50:13.651Z,2055-06-05T00:35:32.651Z,1,0,2055-06-05T00:26:50.434556Z,2055-06-05T00:39:33.904762Z,2055-06-05T00:06:07.281382Z,0,2055-06-05T00:06:15.726482Z,2055-06-05T00:14:42.058012Z,,6/4/2055,3.431783289,7500,1998,507,728,763,1,5,,2055-06-04T20:26:50.434556Z,2055-06-04T20:39:33.904762Z,2055-06-04T20:06:07.281382Z,2055-06-04T20:14:42.058012Z,4.77,426,1226,85
731,5,4050,Doorlanta,Galaxy A,Jagar,0,car,2055-06-06T15:49:17.745982Z,2055-06-06T16:44:17.827Z,2055-06-06T16:21:45.827Z,1,0,2055-06-06T16:26:31.887028Z,2055-06-06T16:34:36.268071Z,2055-06-06T15:49:27.327972Z,0,2055-06-06T15:49:37.74976Z,2055-06-06T15:53:49.370735Z,,6/6/2055,4.6,7500,2699,252,1962,485,0,8,early,2055-06-06T12:26:31.887028Z,2055-06-06T12:34:36.268071Z,2055-06-06T11:49:27.327972Z,2055-06-06T11:53:49.370735Z,4.89,1778,5138,314
639,,4050,Doorlanta,Galaxy A,Abhai,0,car,2055-06-05T22:05:58.809237Z,2055-06-05T22:58:56.877Z,2055-06-05T22:48:49.877Z,1,0,2055-06-05T22:25:00.638806Z,2055-06-05T22:40:12.579445Z,2055-06-05T22:06:07.487224Z,0,2055-06-05T22:06:14.092196Z,2055-06-05T22:08:57.772749Z,,6/5/2055,4.7,7500,2038,163,963,912,0,10,early,2055-06-05T18:25:00.638806Z,2055-06-05T18:40:12.579445Z,2055-06-05T18:06:07.487224Z,2055-06-05T18:08:57.772749Z,4.56,344,947,22
253,5,4001,Dashattan,Galaxy A,Sean,0,bicycle,2055-06-03T13:56:31.072849Z,2055-06-03T15:45:00Z,2055-06-03T15:45:00Z,0,0,2055-06-03T15:26:48.122122Z,2055-06-03T15:34:24.487833Z,2055-06-03T14:50:14.204932Z,0,2055-06-03T14:50:52.366967Z,2055-06-03T14:56:31.525702Z,,6/3/2055,4.5,7500,2612,339,1817,456,0,18,on time,2055-06-03T11:26:48.122122Z,2055-06-03T11:34:24.487833Z,2055-06-03T10:50:14.204932Z,2055-06-03T10:56:31.525702Z,4.52,183,522,
966,,4001,Dashattan,Galaxy A,Rojan,0,bicycle,2055-06-08T21:23:31.277345Z,2055-06-08T22:00:49.324Z,2055-06-08T21:55:42.324Z,1,0,2055-06-08T21:57:43.670453Z,2055-06-08T22:15:15.322664Z,2055-06-08T21:29:34.38399Z,0,2055-06-08T21:29:57.51361Z,2055-06-08T21:46:00.732833Z,,6/8/2055,4.678193006,7500,2718,963,703,1052,0,7,late,2055-06-08T17:57:43.670453Z,2055-06-08T18:15:15.322664Z,2055-06-08T17:29:34.38399Z,2055-06-08T17:46:00.732833Z,4.58,254,788,9
