teamId,teamCity,teamName,teamAbbrev,yearFounded,yearActiveTill
1610612737,Tri-Cities,Blackhawks,TRI  ,1949,1950
1610612737,Milwaukee,Hawks,MIL  ,1951,1954
1610612737,St. Louis,Hawks,STL  ,1955,1967
1610612737,Atlanta,Hawks,ATL  ,1968,2100
1610612738,Boston,Celtics,BOS  ,1946,2100
1610612739,Cleveland,Cavaliers,CLE  ,1970,2100
1610612740,New Orleans,Hornets,NOH  ,2002,2012
1610612741,Chicago,Bulls,CHI  ,1966,2100
1610612742,Dallas,Mavericks,DAL  ,1980,2100
1610612743,Denver,Nuggets,DEN  ,1976,2019
1610612744,Philadelphia,Warriors,PHI  ,1946,1961
1610612744,San Francisco,Warriors,SF   ,1962,1970
1610612744,Golden State,Warriors,GSW  ,1971,2100
1610612745,San Diego,Rockets,SD   ,1967,1970
1610612745,Houston,Rockets,HOU  ,1971,2100
1610612746,Buffalo,Braves,BUF  ,1970,1977
1610612746,San Diego,Clippers,SDC  ,1978,1983
1610612746,Los Angeles,Clippers,LAC  ,1984,2100
1610612747,Minneapolis,Lakers,MIN  ,1948,1959
1610612747,Los Angeles,Lakers,LAL  ,1960,2100
1610612748,Miami,Heat,MIA  ,1988,2100
1610612749,Milwaukee,Bucks,MIL  ,1968,2100
1610612750,Minnesota,Timberwolves,MIN  ,1989,2019
1610612751,New York,Nets,NYK  ,1976,1976
1610612751,New Jersey,Nets,NJ   ,1977,2011
1610612751,Brooklyn,Nets,BKN  ,2012,2100
1610612752,New York,Knicks,NYK  ,1946,2100
1610612753,Orlando,Magic,ORL  ,1989,2199
1610612754,Indiana,Pacers,IND  ,1976,2100
1610612755,Syracuse,Nationals,SYR  ,1949,1962
1610612755,Philadelphia,76ers,PHI  ,1963,2100
1610612756,Phoenix,Suns,PHX  ,1968,2100
1610612757,Portland,Trail Blazers,POR  ,1970,2100
1610612758,Rochester,Royals,ROC  ,1948,1956
1610612758,Cincinnati,Royals,CIN  ,1957,1971
1610612758,Kansas City-Omaha,Kings,KCO  ,1972,1974
1610612758,Kansas City,Kings,KC   ,1975,1984
1610612758,Sacramento,Kings,SAC  ,1985,2100
1610612759,San Antonio,Spurs,SAN  ,1976,2100
1610612760,Seattle,SuperSonics,SEA  ,1967,2007
1610612760,Oklahoma City,Thunder,OKC  ,2008,2100
1610612761,Toronto,Raptors,TOR  ,1995,2100
1610612762,New Orleans,Jazz,NEO  ,1974,1978
1610612762,Utah,Jazz,UTA  ,1979,2100
1610612763,Vancouver,Grizzlies,VAN  ,1995,2000
1610612763,Memphis,Grizzlies,MEM  ,2001,2100
1610612764,Chicago,Packers,CHI  ,1961,1961
1610612764,Chicago,Zephyrs,CHI  ,1962,1962
1610612764,Baltimore,Bullets,BAL  ,1963,1972
1610612764,Capital,Bullets,CAP  ,1973,1973
1610612764,Washington,Bullets,WAS  ,1974,1996
1610612764,Washington,Wizards,WAS  ,1997,2100
1610612765,Ft. Wayne Zollner,Pistons,FWZ  ,1948,1956
1610612765,Detroit,Pistons,DET  ,1957,2100
1610612766,Charlotte,Hornets,CHA  ,1988,2001
1610612766,Charlotte,Bobcats,CHA  ,2004,2013
1610612766,Charlotte,Hornets,CHA  ,2014,2100
